block,group,АБП,АТС,ИРС,АКСиГД,СС,АЭРО,БАС,ЛР,БДиМО,ИИ,АДиПР,ВРС,ГЕНОМ,АЭК,РИ,ИБС,МБ,ИСГБ,ИЭС,ИБ,ИХ,КИ,ЯТ,ГМЭ,НАНО,ПИФТ,ХИТ,ХП,РКИ,ТВР,РМП,ТБС,УРБАН,ЦСС
A,ИТ-базовый,3,2,2,1,1,1,1,1,3,3,3,1,0,2,1,0,1,2,2,3,1,1,0,0,0,3,0,3,2,2,3,2,1,2
A,ИИ и данные,1,3,2,1,1,1,2,3,3,3,3,1,1,2,0,1,2,2,2,1,2,0,1,0,0,1,0,0,1,0,1,1,2,1
A,Безопасность,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0
A,Мобильные роботы,0,3,3,0,1,2,3,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,Сенсорика и встроенные системы,0,0,2,0,2,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2
A,Физика и энергетика,0,0,1,0,3,2,1,0,0,0,0,1,0,0,0,0,0,2,3,0,0,3,3,1,1,0,3,1,0,0,0,2,0,1
A,Химия и материалы,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,3,1,1,3,3,0,3,3,0,0,0,0,0,0
A,Биология и медицина,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A,Космос,0,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A,Среда жизни,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,2,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
A,Пользовательские интерфейсы,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,3,0,0,0
A,Творчество и VR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,1,0
Б,Программирование,3,2,2,2,1,1,1,2,3,3,3,1,0,2,0,0,2,2,2,3,2,1,0,0,0,3,0,2,3,3,3,2,1,2
Б,Конструирование,0,3,2,0,2,3,3,3,0,0,0,3,0,2,3,1,0,1,1,0,0,1,0,2,1,0,3,0,0,0,0,1,0,2
Б,Исследование,0,0,0,2,0,1,0,0,2,1,2,0,3,3,2,2,3,0,1,0,3,3,3,3,3,0,3,3,0,0,0,0,1,0
Б,Анализ данных,1,2,1,3,2,1,1,2,3,3,3,1,1,1,0,1,3,2,2,1,2,1,1,0,0,2,1,1,1,0,1,1,2,1
Б,Проектирование,2,1,1,1,2,3,1,1,0,0,1,1,0,1,3,2,0,3,3,0,0,0,0,0,0,0,2,3,0,0,0,1,3,0
