code,full_name
АБП,Автоматизация бизнес-процессов
АТС,Автономные транспортные системы
АКСиГД,Анализ космических снимков и геопространственных данных
АЭРО,Аэрокосмические системы
БАС,Беспилотные авиационные системы
БДиМО,Большие данные и машинное обучение
ВРС,Водные робототехнические системы
ГЕНОМ,Геномное редактирование
ГМЭ,Гибкая и молекулярная электроника
ИБС,Инженерные биологические системы
ИСГБ,Инженерные сети городов будущего
ИРС,Интеллектуальные робототехнические системы
ИЭС,Интеллектуальные энергетические системы
ИБ,Информационная безопасность
ИХ,Инфохимия
ИИ,Искусственный интеллект
КИ,Квантовый инжиниринг
ЛР,Летающая робототехника
МБ,Моделирование в биотехнологиях
НАНО,Наносистемы и химический инжиниринг
ПИФТ,Программная инженерия в финансовых технологиях
РКИ,Разработка компьютерных игр
РМП,Разработка мобильных приложений
СС,Спутниковые системы
ТБС,Технологии беспроводной связи
ТВР,Технологии виртуальной реальности
УРБАН,Урбанистика
ЦСС,Цифровые сенсорные системы
ЯТ,Ядерные технологии
